日期              时间       飞机地址           纬度                  经度                      高度 地速 航向    航班号 爬升率 识别代码
2017-10-10 13:3:54 780342 39.1265469789505 117.34734177589417 0.00 16.92 153.81 AMU237 0.0 null
2017-10-10 13:3:55 780342 39.12638604640961 117.34741151332855 0.00 16.92 153.81 AMU237 0.0 null
2017-10-10 13:3:58 780342 39.126203656196594 117.34756171703339 0.00 17.80 153.81 AMU237 0.0 null
2017-10-10 13:3:58 780342 39.12612318992615 117.34754025936127 0.00 17.80 153.81 AMU237 0.0 null
2017-10-10 13:3:58 780342 39.12612318992615 117.34754025936127 0.00 17.80 153.81 AMU237 0.0 null
2017-10-10 13:3:59 780342 39.12606418132782 117.3475456237793 0.00 17.80 153.81 AMU237 0.0 null
2017-10-10 13:3:59 780342 39.12605881690979 117.34759390354156 0.00 17.80 153.81 AMU237 0.0 null
2017-10-10 13:4:3 780342 39.12605881690979 117.34759390354156 0.00 17.80 153.81 AMU237 0.0 null
2017-10-10 13:4:5 780342 39.12562429904938 117.34808206558228 0.00 19.78 153.81 AMU237 0.0 null
2017-10-10 13:4:7 780342 39.125431180000305 117.3479425907135 0.00 19.78 153.81 AMU237 0.0 null
2017-10-10 13:4:8 780342 39.125452637672424 117.34817326068878 0.00 20.87 153.81 AMU237 0.0 null
2017-10-10 13:4:8 780342 39.125452637672424 117.34817326068878 0.00 20.87 153.81 AMU237 0.0 null
2017-10-10 13:4:9 780342 39.12535071372986 117.34828054904938 0.00 20.87 153.81 AMU237 0.0 null
2017-10-10 13:4:9 780342 39.12527024745941 117.3482483625412 0.00 20.87 153.81 AMU237 0.0 null
2017-10-10 13:4:10 780342 39.12526488304138 117.34813570976257 0.00 20.87 153.81 AMU237 0.0 null
2017-10-10 13:4:11 780342 39.125173687934875 117.34822690486908 0.00 21.97 153.81 AMU237 0.0 null
2017-10-10 13:4:11 780342 39.12509322166443 117.3483395576477 0.00 21.97 153.81 AMU237 0.0 null
2017-10-10 13:4:12 780342 39.12511467933655 117.34838783740997 0.00 21.97 153.81 AMU237 0.0 null
2017-10-10 13:4:13 780342 39.124926924705505 117.34829664230347 0.00 21.97 153.81 AMU237 0.0 null
2017-10-10 13:4:14 780342 39.124932289123535 117.34841465950012 0.00 21.97 153.81 AMU237 0.0 null
2017-10-10 13:4:15 780342 39.12482500076294 117.34853804111481 0.00 22.85 153.81 AMU237 0.0 null
2017-10-10 13:4:15 780342 39.1247284412384 117.34852194786072 0.00 22.85 153.81 AMU237 0.0 null
2017-10-10 13:4:15 780342 39.12482500076294 117.34853804111481 0.00 22.85 153.81 AMU237 0.0 null
2017-10-10 13:4:15 780342 39.1247284412384 117.34852194786072 0.00 22.85 153.81 AMU237 0.0 null
2017-10-10 13:4:16 780342 39.12476062774658 117.34846293926239 0.00 22.85 153.81 AMU237 0.0 null
2017-10-10 13:4:16 780342 39.12475526332855 117.3484468460083 0.00 22.85 153.81 AMU237 0.0 null
2017-10-10 13:4:17 780342 39.124669432640076 117.34846293926239 0.00 22.85 153.81 AMU237 0.0 null
2017-10-10 13:4:18 780342 39.12457823753357 117.3486989736557 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:18 780342 39.1245836019516 117.34881162643433 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:19 780342 39.1245836019516 117.34881162643433 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:19 780342 39.12448704242706 117.3488062620163 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:19 780342 39.12439584732056 117.34876871109009 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:20 780342 39.12439584732056 117.34866678714752 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:20 780342 39.1243851184845 117.34865069389343 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:21 780342 39.12430465221405 117.34878480434418 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:21 780342 39.1242241859436 117.34886527061462 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:21 780342 39.124213457107544 117.34891891479492 0.00 23.95 153.81 AMU237 0.0 null
2017-10-10 13:4:22 780342 39.124202728271484 117.34893500804901 0.00 24.83 153.81 AMU237 0.0 null
2017-10-10 13:4:22 780342 39.1241329908371 117.34898328781128 0.00 24.83 153.81 AMU237 0.0 null
2017-10-10 13:4:23 780342 39.12405788898468 117.34902620315552 0.00 24.83 153.81 AMU237 0.0 null
2017-10-10 13:4:24 780342 39.12405788898468 117.34902620315552 0.00 24.83 153.81 AMU237 0.0 null
2017-10-10 13:4:24 780342 39.12381649017334 117.34896719455719 0.00 24.83 153.81 AMU237 0.0 null
2017-10-10 13:4:25 780342 39.12389159202576 117.34893500804901 0.00 24.83 153.81 AMU237 0.0 null
2017-10-10 13:4:25 780342 39.123929142951965 117.3489511013031 0.00 24.83 153.81 AMU237 0.0 null
2017-10-10 13:4:26 780342 39.12374138832092 117.349294424057 0.00 24.83 153.81 AMU237 0.0 null
